Iterations	q_{12}	q_{21}	q_{13}	q_{31}	q_{24}	q_{42}
847	0.172490	0.422023	4.162594	2.883345	0.102206	0.034137
850	0.185215	0.408040	4.155922	2.882279	0.091299	0.045060
852	0.172985	0.432393	4.174638	2.892200	0.115008	0.027273
859	0.172691	0.413080	4.183844	2.914106	0.138441	0.049228
863	0.195621	0.434581	4.190850	2.935539	0.155205	0.039020
864	0.205546	0.445832	4.191559	2.938176	0.178461	0.039670
870	0.206994	0.441050	4.202250	2.943303	0.179237	0.061498
871	0.196475	0.457459	4.188053	2.967276	0.159042	0.055125
879	0.216147	0.461271	4.184232	2.988516	0.157364	0.061581
880	0.205438	0.457227	4.204732	2.999609	0.133728	0.072332
881	0.198764	0.449923	4.182734	2.992213	0.116938	0.055921
885	0.191259	0.467273	4.187624	2.987313	0.101697	0.038479
886	0.203746	0.485695	4.186294	2.982058	0.100580	0.051079
887	0.220193	0.509015	4.182350	2.979303	0.116043	0.043149
892	0.232375	0.504783	4.206932	2.974809	0.109459	0.057515
894	0.234235	0.501553	4.210530	2.957313	0.132611	0.057745
895	0.218367	0.480858	4.227560	2.975501	0.112787	0.044947
896	0.220037	0.500482	4.235948	2.983349	0.134230	0.047607
900	0.198561	0.492576	4.245137	3.000105	0.132457	0.040245
902	0.218556	0.480084	4.264448	3.015401	0.117131	0.042259
903	0.216942	0.488243	4.288183	3.019860	0.139791	0.062083
906	0.202485	0.510556	4.305913	3.002352	0.156617	0.040180
908	0.203544	0.523283	4.311080	3.005530	0.143266	0.035443
915	0.210649	0.535282	4.329401	3.029011	0.149340	0.060060
919	0.207696	0.530372	4.319554	3.039372	0.150975	0.044399
920	0.204351	0.506261	4.341477	3.044892	0.144683	0.063827
921	0.206652	0.529614	4.345924	3.055103	0.122184	0.052342
931	0.207109	0.526852	4.369151	3.050331	0.107172	0.067752
932	0.221177	0.530272	4.365467	3.060565	0.127884	0.049349
933	0.244861	0.552183	4.365206	3.082550	0.134195	0.035154
939	0.227918	0.565104	4.389321	3.059213	0.135315	0.034816
946	0.208355	0.574172	4.412159	3.073620	0.153904	0.037758
953	0.185346	0.578988	4.427483	3.086501	0.149912	0.038297
956	0.196267	0.583642	4.412912	3.083273	0.125637	0.060436
959	0.182078	0.561462	4.419026	3.106248	0.134174	0.069606
960	0.184945	0.540040	4.414299	3.093589	0.124359	0.056180
964	0.179571	0.529029	4.421381	3.104109	0.121276	0.043803
970	0.202490	0.513154	4.402443	3.086209	0.138401	0.035293
980	0.212902	0.501796	4.409916	3.093953	0.122660	0.036644
982	0.223939	0.492109	4.426582	3.087774	0.107407	0.060854
985	0.215917	0.510329	4.449232	3.108334	0.082504	0.060115
987	0.236132	0.494386	4.468492	3.101371	0.089337	0.070922
988	0.248644	0.518579	4.482845	3.109702	0.094932	0.056513
989	0.260573	0.499406	4.500073	3.127705	0.078923	0.047335
995	0.280151	0.518448	4.518480	3.112403	0.081972	0.029253
996	0.290956	0.508543	4.500384	3.127033	0.083991	0.043262
1001	0.309708	0.502392	4.524131	3.116457	0.097643	0.033560
1003	0.292276	0.486153	4.506966	3.122985	0.118277	0.038146
1005	0.273959	0.505098	4.522542	3.104343	0.119475	0.051647
1007	0.250488	0.496838	4.534829	3.091732	0.135868	0.043385
1008	0.243621	0.500215	4.551609	3.097326	0.131644	0.062727
1009	0.233539	0.521868	4.567855	3.092612	0.131756	0.054091
1013	0.247155	0.519102	4.571953	3.082961	0.153959	0.039689
